"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
2016	"ANALYSIS OF DISPERSE DYES USING LIQUID CHROMATOGRAPHY/LINEAR ION TRAP MASS SPECTROMETRY (LC/LIT-MSN) AND DATABASE CONSTRUCTION"	"KATO T;IKEUE T;SUZUKI Y;HANDA M"	"DISPERSE DYE; LIQUID CHROMATOGRAPHY/LINEAR ION TRAP MASS SPECTROMETRY; DATABASE"	"THIN-LAYER-CHROMATOGRAPHY; BLACK COTTON FIBERS; TEXTILE FIBERS;; ELECTROSPRAY-IONIZATION; FORENSIC ANALYSIS; EVIDENTIAL VALUE; SOLVENT; SYSTEMS; BATCH VARIATION; LC-MS; BLUE"	"HANDA, M (CORRESPONDING AUTHOR), SHIMANE UNIV, INTERDISCIPLINARY GRAD SCH SCI \& ENGN, DEPT CHEM, 1060 NISHIKAWATSU CHO, MATSUE, SHIMANE 6908504, JAPAN; KATO, TAKAO, SHIMANE PREFECTURAL POLICE HQ, CRIMINAL INVEST LAB, 1751-15 HEISEI CHO, MATSUE, SHIMANE 6908510, JAPAN; KATO, TAKAO; IKEUE, TAKAHISA; HANDA, MAKOTO, SHIMANE UNIV, INTERDISCIPLINARY GRAD SCH SCI \& ENGN, DEPT CHEM, 1060 NISHIKAWATSU CHO, MATSUE, SHIMANE 6908504, JAPAN; SUZUKI, YASUHIRO, NATL RES INST POLICE SCI, 6-3-1 KASHIWANOHA, KASHIWA, CHIBA 2770882, JAPAN"	"10.2116/analsci.32.147"	"ANALYTICAL SCIENCES"	"WebOfScience"	"ARTICLE"
2016	"ANALYSIS OF TRANSFERRED FRAGRANCE AND ITS FORENSIC IMPLICATIONS"	"GHERGHEL S;MORGAN RM;BLACKMAN CS;PARKIN IP"	"FORENSIC SCIENCE; PERFUME ANALYSIS; TRACE EVIDENCE; TRANSFER; EXPERIMENTAL STUDIES; EVIDENCE DYNAMICS"	"PERSISTENCE; EXTRACTION; FIBERS"	"GHERGHEL, S (CORRESPONDING AUTHOR), UCL DEPT CHEM, 20 GORDON ST, LONDON WC1H 0AJ, ENGLAND; GHERGHEL, SIMONA; MORGAN, RUTH M, UCL DEPT SECUR \& CRIME SCI, 35 TAVISTOCK SQ, LONDON WC1H 9EZ, ENGLAND; GHERGHEL, SIMONA; MORGAN, RUTH M, UCL CTR FORENS SCI, 35 TAVISTOCK SQ, LONDON WC1H 9EZ, ENGLAND; GHERGHEL, SIMONA; BLACKMAN, CHRISTOPHER S; KARU, KERSTI; PARKIN, IVAN P, UCL DEPT CHEM, 20 GORDON ST, LONDON WC1H 0AJ, ENGLAND"	"10.1016/j.scijus.2016.08.004"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2016	"APPLICATION OF IR IN THE FIELD OF EVIDENCE IDENTIFICATION"	"YU JING YJ;ZHANG YUN ZY;PANG SONG-YING PS;WANG JI-FEN WJ"	"INFRARED SPECTROSCOPY; FORENSIC SCIENCE; EVIDENCE IDENTIFICATION; REVIEW"	NA	"YU, J (CORRESPONDING AUTHOR), BEIJING FORENS SCI INST, BEIJING 100054, PEOPLES R CHINA; YU JING; ZHANG YUN, BEIJING FORENS SCI INST, BEIJING 100054, PEOPLES R CHINA; PANG SONG-YING; WANG JI-FEN, ANTISMUGGLING BUR SHENZHEN CUSTOM, SHENZHEN 518001, PEOPLES R CHINA; CHINESE PEOPLES PUBL SECUR UNIV, BEIJING 100038, PEOPLES R CHINA"	"10.3964/j.issn.1000-0593(2016)09-2807-05"	"SPECTROSCOPY AND SPECTRAL ANALYSIS"	"WebOfScience"	"ARTICLE"
2016	"APPLICATIONS OF BLUE LIGHT-CURING ACRYLIC RESIN TO FORENSIC SAMPLE PREPARATION AND MICROTOMY"	"GROVES E;PALENIK CS"	"FORENSIC SCIENCE; TRACE EVIDENCE; MICROSCOPY; SAMPLE PREPARATION; MICROTOMY; BLUE LIGHT-CURING ACRYLIC RESIN; EMBEDDING MEDIA"	NA	"GROVES, E (CORRESPONDING AUTHOR), MICROTRACE LLC, 790 FLETCHER DR,SUITE 106, ELGIN, IL 60123 USA; GROVES, ETHAN; PALENIK, CHRISTOPHER S, MICROTRACE LLC, 790 FLETCHER DR,SUITE 106, ELGIN, IL 60123 USA"	"10.1111/1556-4029.12993"	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2016	"AUTHENTICATION OF TRACE MATERIAL EVIDENCE IN FORENSIC SCIENCE FIELD WITH INFRARED MICROSCOPIC TECHNIQUE"	"JIANG ZHI-QUAN JZ;HU KE-LIANG HK"	"INFRARED MICROSCOPIC TECHNIQUE; FORENSIC SCIENCE; TRACE MATERIAL; EVIDENCE"	"SPECTROSCOPY"	"JIANG, ZQ (CORRESPONDING AUTHOR), UNIV SCI \& TECHNOL CHINA, INSTRUMENTS CTR PHYS SCI, HEFEI 230026, PEOPLES R CHINA; JIANG ZHI-QUAN; HU KE-LIANG, UNIV SCI \& TECHNOL CHINA, INSTRUMENTS CTR PHYS SCI, HEFEI 230026, PEOPLES R CHINA"	"10.3964/j.issn.1000-0593(2016)03-0706-05"	"SPECTROSCOPY AND SPECTRAL ANALYSIS"	"WebOfScience"	"ARTICLE"
2016	"BARK AND WOOD STRUCTURE OF PRUNUS AFRICANA (ROSACEAE), AN IMPORTANT AFRICAN MEDICINAL PLANT"	"KOTINA EL;OSKOLSKI AA;TILNEY PM;VAN WYK BE"	"AFRICAN CHERRY; BARK ANATOMY; PHARMACOGNOSY; RED STINKWOOD; WOOD ANATOMY"	"BENIGN PROSTATIC HYPERPLASIA; PYGEUM-AFRICANUM; PIT MEMBRANES;; CLASSIFICATION; PHYLOGENY; ANATOMY; TREES"	"VAN WYK, BE (CORRESPONDING AUTHOR), UNIV JOHANNESBURG, DEPT BOT \& PLANT BIOTECHNOL, POB 524, ZA-2006 JOHANNESBURG, SOUTH AFRICA; KOTINA, E L; OSKOLSKI, A A; TILNEY, P M; VAN WYK, B-E, UNIV JOHANNESBURG, DEPT BOT \& PLANT BIOTECHNOL, POB 524, ZA-2006 JOHANNESBURG, SOUTH AFRICA; OSKOLSKI, A A, RUSSIAN ACAD SCI, KOMAROV BOT INST, PROF POPOV STR 2, ST PETERSBURG 197376, RUSSIA"	"10.1016/j.sajb.2016.04.015"	"SOUTH AFRICAN JOURNAL OF BOTANY"	"WebOfScience"	"ARTICLE"
2016	"BIODEGRADABLE POLYMERIC NANOPARTICLES AS THE DELIVERY CARRIER FOR DRUG"	"ZHAO K;LI D-R;SHI C;MA X;RONG H;WANG X;SUN B"	"CHITOSAN; COMMERCIALIZATION; DRUG DELIVERY; NANOTECHNOLOGY; POLYMERIC; NANOPARTICLES; SYNTHESIS METHODS"	"CHITOSAN NANOPARTICLES; MULTIFUNCTIONAL NANOPARTICLES; MICELLE; FORMULATION; PLGA NANOPARTICLES; CONTROLLED-RELEASE; CREMOPHOR-FREE;; ORAL DELIVERY; PHASE-II; IN-VITRO; SYSTEM"	"SUN, B (CORRESPONDING AUTHOR), HEILONGJIANG BAYI AGR UNIV, COLL ANIM SCI \& VET MED, DAQING 163319, PEOPLES R CHINA; ZHAO, KAI; RONG, GUANGU; KANG, HONG, UNIV JINAN, SCH BIOL SCI \& TECHNOL, JINAN 250022, PEOPLES R CHINA; ZHAO, KAI; LI, DAN; SHI, CI; MA, XUELING; WANG, XIAOHUA, HEILONGJIANG UNIV, SCH LIFE SCI, KEY LAB MICROBIOL, HARBIN 150080, PEOPLES R CHINA; HARBIN MED UNIV, DEPT NEUROSURG, AFFILIATED HOSP 4, HARBIN 150001, PEOPLES R CHINA; SUN, BIN, HEILONGJIANG BAYI AGR UNIV, COLL ANIM SCI \& VET MED, DAQING 163319, PEOPLES R CHINA"	"10.2174/156720181304160521004609"	"CURRENT DRUG DELIVERY"	"WebOfScience"	"ARTICLE"
2016	"BLUE LIGHT EMITTING CERAMIC NANO-PIGMENTS OF TM3+ DOPED YALO3: APPLICATIONS IN LATENT FINGER PRINT, ANTI-COUNTERFEITING AND PORCELAIN STONEWARE"	"DARSHAN GP;PREMKUMAR HB;NAGABHUSHANA H;SHARMA SC;PRASHANTHA SC;NAGASWARUP HP;PRASAD BD"	"NANOPHOSPHOR; SOLUTION COMBUSTION; PHOTOLUMINESCENCE; JUDD-OFELT; PARAMETER; FINGERPRINT; ANTI-COUNTERFEITING"	"EXCITED PHOTOLUMINESCENCE PROPERTIES; LOW-TEMPERATURE SYNTHESIS; FIBER; AMPLIFIER; LUMINESCENT PROPERTIES; NANOPHOSPHOR SYNTHESIS; GREEN; SYNTHESIS; ENERGY-TRANSFER; IGNITION ROUTE; SINGLE-PHASE; WHITE-LIGHT"	"PREMKUMAR, HB (CORRESPONDING AUTHOR), DAYANANDA SAGAR ACAD TECHNOL \& MANAGEMENT, DEPT PHYS, BANGALORE 560082, KARNATAKA, INDIA; NAGABHUSHANA, H (CORRESPONDING AUTHOR), TUMKUR UNIV, CTR NANO RES, TUMKUR 572103, INDIA; DARSHAN, G P, ACHARYA INST GRAD STUDIES, DEPT PHYS, BANGALORE 560107, KARNATAKA, INDIA; DARSHAN, G P, BHARATHIAR UNIV, CTR RES \& DEV, COIMBATORE 641046, TAMIL NADU, INDIA; PREMKUMAR, H B, DAYANANDA SAGAR ACAD TECHNOL \& MANAGEMENT, DEPT PHYS, BANGALORE 560082, KARNATAKA, INDIA; NAGABHUSHANA, H, TUMKUR UNIV, CTR NANO RES, TUMKUR 572103, INDIA; SHARMA, S C, DAYANANDA SAGAR UNIV, DEPT MECH ENGN, DSCE, PROVOST, BANGALORE 560078, KARNATAKA, INDIA; PRASHANTHA, S C; NAGASWARUP, H P, EAST WEST INST TECHNOL, DEPT SCI, BANGALORE 560091, KARNATAKA, INDIA; PRASAD, B DARUKA, BMS INST TECHNOL, DEPT PHYS, BANGALORE 560064, KARNATAKA, INDIA"	"10.1016/j.dyepig.2016.02.015"	"DYES AND PIGMENTS"	"WebOfScience"	"ARTICLE"
2016	"CAN ``CONTAMINATION'' OCCUR IN BODY BAGS?-THE EXAMPLE OF BACKGROUND FIBRES IN BODY BAGS USED IN AUSTRALIA"	"SCHWENDENER G;MORET S;CAVANAGH-STEER C"	"CONSUMABLES; IMPURITIES; CRIME SCENE; POLLUTION; TRACE EVIDENCE"	NA	"ROUX, C (CORRESPONDING AUTHOR), UNIV TECHNOL SYDNEY, CTR FORENS SCI, POB 123, BROADWAY 2007, AUSTRALIA; SCHWENDENER, GIULIANA; MORET, SEBASTIEN; ROUX, CLAUDE, UNIV TECHNOL SYDNEY, CTR FORENS SCI, POB 123, BROADWAY 2007, AUSTRALIA; SCHWENDENER, GIULIANA, UNIV LAUSANNE, ECOLE SCI CRIMINELLES, BLDG BATOCHIME, CH-1015 LAUSANNE, SWITZERLAND; CAVANAGH-STEER, KAREN, NORTHERN TERR POLICE FIRE \& EMERGENCY SERV, FORENS SCI BRANCH, DARWIN, NT, AUSTRALIA"	"10.1016/j.forsciint.2016.07.012"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2016	"CAPILLARY ELECTROPHORESIS COUPLED WITH IN-COLUMN FIBER-OPTIC LASER-INDUCED FLUORESCENCE DETECTION FOR THE RAPID SEPARATION OF NEODYMIUM"	"CHENG C;JIANG T;HAN J;LV K;HU S;WANG X"	"CAPILLARY ELECTROPHORESIS; IN-COLUMN FIBER-OPTIC; LASER-INDUCED; FLUORESCENCE; NEODYMIUM; RAPID SEPARATION"	"PLASMA-MASS SPECTROMETRY; AROMATIC POLYAMINOCARBOXYLATE;; CHEMILUMINESCENCE DETECTION; LANTHANIDE(III) IONS; ZONE-ELECTROPHORESIS;; SAMPLES; PROBE; COMPLEXATION; URINE; MS"	"WANG, XL (CORRESPONDING AUTHOR), CHINA ACAD ENGN PHYS, INST NUCL PHYS \& CHEM, 64 MIANSHAN RD, MIANYANG 612900, PEOPLES R CHINA; CHENG, CHANGMING; JIANG, TAO; HAN, JUN; LV, KAI; HU, SHENG; WANG, XIAOLIN, CHINA ACAD ENGN PHYS, INST NUCL PHYS \& CHEM, 64 MIANSHAN RD, MIANYANG 612900, PEOPLES R CHINA"	"10.1002/elps.201600215"	"ELECTROPHORESIS"	"WebOfScience"	"ARTICLE"
2016	"CHEMICAL ANALYSIS OF DYES ON AN UZBEK CEREMONIAL COAT: OBJECTIVE EVIDENCE FOR ARTIFACT DATING AND THE CHEMISTRY OF EARLY SYNTHETIC DYES"	"CHEN VJ;SMITH GD;HOLDEN A;PAYDAR N;KIEFER K"	"DYE ANALYSIS; CENTRAL ASIAN TEXTILE; UZBEK CEREMONIAL COAT; NATURAL AND; SYNTHETIC DYES; CULTURAL HERITAGE"	"PERFORMANCE LIQUID-CHROMATOGRAPHY; MASS-SPECTROMETRY; FORENSIC ANALYSIS;; ORGANIC-DYES; IDENTIFICATION; FIBERS; SPECTRA"	"CHEN, VJ (CORRESPONDING AUTHOR), INDIANAPOLIS MUSEUM ART, 4000 MICHIGAN RD, INDIANAPOLIS, IN 46208 USA; CHEN, VICTOR J; SMITH, GREGORY D; HOLDEN, AMANDA; PAYDAR, NILOO; KIEFER, KATHLEEN, INDIANAPOLIS MUSEUM ART, 4000 MICHIGAN RD, INDIANAPOLIS, IN 46208 USA"	"10.1016/j.dyepig.2016.04.019"	"DYES AND PIGMENTS"	"WebOfScience"	"ARTICLE"
2016	"CORTICAL BONE HISTOMORPHOLOGY OF KNOWN-AGE SKELETONS FROM THE KIRSTEN COLLECTION, STELLENBOSCH UNIVERSITY, SOUTH AFRICA"	"PFEIFFER S;HEINRICH J;BERESHEIM A;ALBLAS M"	"AGE-AT-DEATH ESTIMATION; HISTOLOGY; BONE REMODELING; BONE MASS; WESTERN; CAPE"	"COLLAGEN FIBER ORIENTATION; SECONDARY OSTEON; HEALTH; DEATH; FRACTURE;; AMERICAN; HISTORY; CORTEX; IMPACT; FEMUR"	"PFEIFFER, S (CORRESPONDING AUTHOR), UNIV TORONTO, DEPT ANTHROPOL, 19 RUSSELL ST, TORONTO, ON M5S 2S2, CANADA; PFEIFFER, SUSAN; HEINRICH, JARRED; BERESHEIM, AMY, UNIV TORONTO, DEPT ANTHROPOL, 19 RUSSELL ST, TORONTO, ON M5S 2S2, CANADA; PFEIFFER, SUSAN, UNIV CAPE TOWN, DEPT ARCHAEOL, ZA-7701 RONDEBOSCH, SOUTH AFRICA; ALBLAS, MANDI, UNIV STELLENBOSCH, DEPT BIOMED SCI, ZA-8000 CAPE TOWN, SOUTH AFRICA"	"10.1002/ajpa.22951"	"AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY"	"WebOfScience"	"ARTICLE"
2016	"CYANOACRYLATE ADHESIVES: A CRITICAL REVIEW"	"RAJA PR"	"CYANOACRYLATE ESTERS; KNOEVENAGEL REACTION; TISSUE ADHESIVE; CYANOACRYLATE FUMING; NANOFIBERS; CYANOACRYLATE FIBERS"	"LATENT FINGERPRINTS; NANOFIBERS; GLUE; TOXICITY; GROWTH; LIGHT"	"RAJA, PR (CORRESPONDING AUTHOR), EXXONMOBIL CHEM CO, 5200 BAYWAY DR, BAYTOWN, TX 77520 USA; RAJA, P RAJESH, EXXONMOBIL CHEM CO, 5200 BAYWAY DR, BAYTOWN, TX 77520 USA"	"10.7569/RAA.2016.097315"	"REVIEWS OF ADHESION AND ADHESIVES"	"WebOfScience"	"REVIEW"
2016	"DIFFERENTIATION OF AGED FIBERS BY RAMAN SPECTROSCOPY AND MULTIVARIATE DATA ANALYSIS"	"BIANCHI F;RIBONI N;TROLLA V;FURLAN G;AVANTAGGIATO G;IACOBELLIS G;CARERI M"	"FORENSIC SCIENCE; TEXTILES; RAMAN SPECTROSCOPY; AGING; DISCRIMINANT; ANALYSIS; DYES"	"REACTIVE DYES; COTTON; DISCRIMINATION; MIXTURES; IDENTIFICATION;; DEGRADATION; MICROSCOPY; FASTNESS"	"BIANCHI, F (CORRESPONDING AUTHOR), UNIV PARMA, DIPARTIMENTO CHIM, PARCO AREA SCI 17-A, I-43124 PARMA, ITALY; BIANCHI, FEDERICA; RIBONI, NICOLO; TROLLA, VALENTINA; FURLAN, GIADA; CARERI, MARIA, UNIV PARMA, DIPARTIMENTO CHIM, PARCO AREA SCI 17-A, I-43124 PARMA, ITALY; AVANTAGGIATO, GIORGIO; IACOBELLIS, GIULIANO, REPARTO CARABINIERI INVEST SCI PARMA, VIA PARCO DUCALE 3, I-43125 PARMA, ITALY"	"10.1016/j.talanta.2016.04.013"	"TALANTA"	"WebOfScience"	"ARTICLE"
2016	"DIFFUSION TENSOR IMAGING OF PERIPHERAL NERVES IN NON-FIXED POST-MORTEM SUBJECTS"	"HAAKMA W;PEDERSEN M;FROELING M;UHRENHOLT L;LEEMANS A;BOEL LWT"	"POST-MORTEM IMAGING; MAGNETIC RESONANCE IMAGING; DIFFUSION TENSOR; IMAGING; FIBER TRACTOGRAPHY; PERIPHERAL NERVES"	"FIBER TRACTOGRAPHY; ASSESSING AGREEMENT; SACRAL PLEXUS; HUMAN BRAIN;; MRI; AUTOPSY; ROOTS"	"HAAKMA, W (CORRESPONDING AUTHOR), AARHUS UNIV, DEPT FORENS MED, PALLE JUUL JENSENS BLVD 99, DK-8200 AARHUS N, DENMARK; HAAKMA, WIEKE; UHRENHOLT, LARS; BOEL, LENE WARNER THORUP, AARHUS UNIV, DEPT FORENS MED, PALLE JUUL JENSENS BLVD 99, DK-8200 AARHUS N, DENMARK; HAAKMA, WIEKE; PEDERSEN, MICHAEL, AARHUS UNIV, DEPT CLIN MED, COMPARAT MED LAB, PALLE JUUL JENSENS BLVD 99, DK-8200 AARHUS N, DENMARK; HAAKMA, WIEKE; FROELING, MARTIJN, UNIV MED CTR UTRECHT, DEPT RADIOL, UTRECHT, NETHERLANDS; PEDERSEN, MICHAEL, AARHUS UNIV, MR RES CTR, DEPT CLIN MED, AARHUS, DENMARK; LEEMANS, ALEXANDER, UNIV MED CTR UTRECHT, IMAGE SCI INST, UTRECHT, NETHERLANDS"	"10.1016/j.forsciint.2016.04.001"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2016	"DIRECT IDENTIFICATION OF FORENSIC BODY FLUIDS USING MATRIX-ASSISTED LASER DESORPTION/IONIZATION TIME-OF-FLIGHT MASS SPECTROMETRY"	"KAMANNA S;HENRY J;VOELCKER A;KIRKBRIDE KP"	"MATRIX-ASSISTED LASER DESORPTION/IONIZATION TIME-OF-FLIGHT MASS; SPECTROMETRY (MALDI-TOF MS); BODY FLUIDS; FABRIC SUBSTRATES; FORENSIC; SCIENCE; PROTEIN BIOMARKERS"	"PRESUMPTIVE TESTS; SEMENOGELIN-I; PROTEIN; BLOOD; SPECIFICITY;; SENSITIVITY; COAGULUM; STAINS; SALIVA; UREA"	"KIRKBRIDE, KP (CORRESPONDING AUTHOR), FLINDERS UNIV S AUSTRALIA, SCH CHEM \& PHYS SCI, STURT RD,BEDFORD PK, ADELAIDE, SA 5042, AUSTRALIA; KAMANNA, SATHISHA; KIRKBRIDE, K PAUL, FLINDERS UNIV S AUSTRALIA, SCH CHEM \& PHYS SCI, STURT RD,BEDFORD PK, ADELAIDE, SA 5042, AUSTRALIA; HENRY, JULIANNE, FORENS SCI SA, 21 DIVETT PL, ADELAIDE, SA 5000, AUSTRALIA; VOELCKER, NICHOLAS H, UNIV S AUSTRALIA, FUTURE IND INST, MAWSON LAKES, SA 5095, AUSTRALIA; LINACRE, ADRIAN, FLINDERS UNIV S AUSTRALIA, SCH BIOL SCI, STURT RD,BEDFORD PK, ADELAIDE, SA 5042, AUSTRALIA"	"10.1016/j.ijms.2016.01.002"	"INTERNATIONAL JOURNAL OF MASS SPECTROMETRY"	"WebOfScience"	"ARTICLE"
2016	"DNA PROFILES FROM CLOTHING FIBERS USING DIRECT PCR"	"BLACKIE R;TAYLOR D;LINACRE A"	"DIRECT PCR; SINGLE FIBERS; FORENSIC SCIENCE; NGM STR LOCI"	"FINGERMARKS; SAMPLES"	"BLACKIE, R (CORRESPONDING AUTHOR), FLINDERS UNIV S AUSTRALIA, SCH BIOL SCI, ADELAIDE, SA, AUSTRALIA; BLACKIE, RENEE; TAYLOR, DUNCAN; LINACRE, ADRIAN, FLINDERS UNIV S AUSTRALIA, SCH BIOL SCI, ADELAIDE, SA, AUSTRALIA; TAYLOR, DUNCAN, FORENS SCI SOUTH AUSTRALIA, DIVETT PL, ADELAIDE, SA, AUSTRALIA"	"10.1007/s12024-016-9784-y"	"FORENSIC SCIENCE MEDICINE AND PATHOLOGY"	"WebOfScience"	"ARTICLE"
2016	"DOES THE SOURCE MIGRATION PATHWAY OF HBCDS TO HOUSEHOLD DUST INFLUENCE THEIR BIO-ACCESSIBILITY?"	"GARCIA-ALCEGA S;RAUERT C;HARRAD S;COLLINS CD"	"FLAME RETARDANTS; INDOOR ENVIRONMENT; IN VITRO DIGESTION MODEL; ORAL; EXPOSURE; VOLATILISATION; ABRASION"	"POLYBROMINATED DIPHENYL ETHERS; BROMINATED FLAME RETARDANTS; HUMAN; GASTROINTESTINAL-TRACT; IN-VITRO DIGESTION; INDOOR DUST; FORENSIC; MICROSCOPY; HUMAN EXPOSURE; TEST CHAMBER; BIOACCESSIBILITY; PBDES"	"COLLINS, CD (CORRESPONDING AUTHOR), UNIV READING, SOIL RES CTR, READING RG6 6AH, BERKS, ENGLAND; GARCIA-ALCEGA, SONIA; COLLINS, CHRIS D, UNIV READING, SOIL RES CTR, READING RG6 6AH, BERKS, ENGLAND; RAUERT, CASSIE; HARRAD, STUART, UNIV BIRMINGHAM, SCH GEOG EARTH \& ENVIRONM SCI, BIRMINGHAM B15 2TT, W MIDLANDS, ENGLAND"	"10.1016/j.scitotenv.2016.04.178"	"SCIENCE OF THE TOTAL ENVIRONMENT"	"WebOfScience"	"ARTICLE"
2016	"EXCITATION-EMISSION MATRIX FLUORESCENCE SPECTROSCOPY COMBINED WITH MCR-ALS AS A TOOL FOR THE FORENSIC ANALYSIS OF SIMILAR AND DISSIMILAR SETS OF TEXTILE FIBER EXTRACTS"	"CAMPIGLIA AD;REX M;MUNOZ DE LA PENA HC"	NA	"IDENTIFICATION; MICROSCOPY; DYES"	"CAMPIGLIA, AD (CORRESPONDING AUTHOR), UNIV CENT FLORIDA, DEPT CHEM, 4111 LIBRA DR,POB 25000, ORLANDO, FL 32816 USA; CAMPIGLIA, AD (CORRESPONDING AUTHOR), UNIV CENT FLORIDA, NATL CTR FORENS SCI, 12354 RES PKWY, ORLANDO, FL 32826 USA; DE LA PENA, AM (CORRESPONDING AUTHOR), UNIV EXTREMADURA, DEPT ANALYT CHEM, BADAJOZ 06006, SPAIN; DE LA PENA, AM (CORRESPONDING AUTHOR), UNIV EXTREMADURA, IACYS, BADAJOZ 06006, SPAIN; CAMPIGLIA, ANDRES D; REX, MATTEW, UNIV CENT FLORIDA, DEPT CHEM, 4111 LIBRA DR,POB 25000, ORLANDO, FL 32816 USA; CAMPIGLIA, ANDRES D, UNIV CENT FLORIDA, NATL CTR FORENS SCI, 12354 RES PKWY, ORLANDO, FL 32826 USA; MUNOZ DE LA PENA, ARSENIO, UNIV EXTREMADURA, DEPT ANALYT CHEM, BADAJOZ 06006, SPAIN; MUNOZ DE LA PENA, ARSENIO, UNIV EXTREMADURA, IACYS, BADAJOZ 06006, SPAIN; GOICOECHEA, HECTOR C, UNIV NACL LITORAL, FAC BIOQUIM \& CIENCIAS BIOL, LAB DESARROLLO ANALIT \& QUIMIOMETRIA LADAQ, CATEDRA QUIM ANALIT 1,CONICET, S3000ZAA, SANTA FE, ARGENTINA"	"10.1039/c6ay02757a"	"ANALYTICAL METHODS"	"WebOfScience"	"ARTICLE"
2016	"EXPOSURE TO ELEVATED TEMPERATURES AND COOLED UNDER DIFFERENT REGIMES-A STUDY ON POLYPROPYLENE CONCRETE"	"YARAGAL SC;RAMANJANEYULU S"	"CONCRETE; PERFORMANCE; HEATING; COOLING REGIMES; POLYPROPYLENE; STRENGTH; LOSS"	"STRENGTH CONCRETE; FIBERS"	"YARAGAL, SC (CORRESPONDING AUTHOR), NATL INST TECHNOL KARNATAKA, DEPT CIVIL ENGN, MANGALORE 575025, KARNATAKA, INDIA; YARAGAL, SUBHASH C; RAMANJANEYULU, S, NATL INST TECHNOL KARNATAKA, DEPT CIVIL ENGN, MANGALORE 575025, KARNATAKA, INDIA"	"10.12989/amr.2016.5.1.021"	"ADVANCES IN MATERIALS RESEARCH-AN INTERNATIONAL JOURNAL"	"WebOfScience"	"ARTICLE"
2016	"FIBER: PROTOCOLS FOR EXAMINATION"	"ROBERTSON J;ROUX CP"	NA	"FORENSIC ANALYSIS"	"ROBERTSON, J (CORRESPONDING AUTHOR), UNIV CANBERRA, CANBERRA, ACT, AUSTRALIA; ROBERTSON, J, UNIV CANBERRA, CANBERRA, ACT, AUSTRALIA; ROUX, C, UNIV TECHNOL SYDNEY, SYDNEY, NSW, AUSTRALIA"	"10.1016/B978-0-12-800574-3.00026-5"	"MATERIALS ANALYSIS IN FORENSIC SCIENCE"	"WebOfScience"	"BOOK"
2016	"FORENSIC HAIR DIFFERENTIATION USING ATTENUATED TOTAL REFLECTION FOURIER TRANSFORM INFRARED (ATR FT-IR) SPECTROSCOPY"	"MANHEIM J;DOTY KC;MCLAUGHLIN G;LEDNEV IK"	"ATTENUATED TOTAL REFLECTION FOURIER TRANSFORM-INFRARED SPECTROSCOPY; ATR; FT-IR; CHEMOMETRICS; HAIR; TRACE EVIDENCE; HUMAN ORIGIN; PARTIAL LEAST; SQUARES DISCRIMINANT ANALYSIS; PLS-DA"	"RAMAN-SPECTROSCOPY; STRUCTURAL-CHANGE; IDENTIFICATION; FIBERS; SAMPLES;; BLOOD; DNA; MORPHOLOGY; SCIENCE; TRACES"	"LEDNEV, IK (CORRESPONDING AUTHOR), SUNY ALBANY, DEPT CHEM, 1400 WASHINGTON AVE, ALBANY, NY 12222 USA; MANHEIM, JEREMY; DOTY, KYLE C; MCLAUGHLIN, GREGORY; LEDNEV, IGOR K, SUNY ALBANY, DEPT CHEM, 1400 WASHINGTON AVE, ALBANY, NY 12222 USA"	"10.1177/0003702816652321"	"APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
2016	"FORENSIC POTENTIAL OF ATOMIC FORCE MICROSCOPY"	"SMIJS T;GALLI F;VAN ASTEN A"	"FORENSIC; ATOMIC FORCE; CRIME; BLOOD; TEXTILE; FINGERMARK; EXPLOSIVES; FORGERY"	"BALLPOINT PEN INKS; PRESSURE-SENSITIVE ADHESIVES; IONIZATION; MASS-SPECTROMETRY; ENHANCED RAMAN-SPECTROSCOPY; GUNSHOT RESIDUE; PARTICLES; SCANNING LASER-ABLATION; LATENT FINGERPRINTS; SHOOTING; DISTANCE; AGE-DETERMINATION; FTIR/ATR ANALYSIS"	"SMIJS, T (CORRESPONDING AUTHOR), NETHERLANDS FORENS INST, PO 24044, NL-2490 AA THE HAGUE, NETHERLANDS; SMIJS, THREES; VAN ASTEN, ARIAN, NETHERLANDS FORENS INST, PO 24044, NL-2490 AA THE HAGUE, NETHERLANDS; GALLI, FEDERICA, LEIDEN UNIV, LEIDEN INST PHYS, LEIDEN, NETHERLANDS; VAN ASTEN, ARIAN, UNIV AMSTERDAM, VAN T HOFF INST MOL SCI, AMSTERDAM, NETHERLANDS; VAN ASTEN, ARIAN, UNIV AMSTERDAM, AMSTERDAM CTR FORENS SCI \& MED, CLHC, AMSTERDAM, NETHERLANDS"	"10.1016/j.forc.2016.10.005"	"FORENSIC CHEMISTRY"	"WebOfScience"	"REVIEW"
