"","Authors","AuthorID","Title","Year","Source.title","Volume","Issue","Art..No.","Page.start","Page.end","Page.count","Cited.by","DOI","Link","Affiliations","Authors.with.affiliations","Author.Keywords","Index.Keywords","ID","Document.Type","Publication.Stage","Access.Type","Source","EID","Coder"
"174","Zieba-Palus J., Borusiewicz R., Kunicki M.","6602086334;6506029979;12785547000;","PRAXIS-combined ?-Raman and ?-XRF spectrometers in the examination of forensic samples",2008,"Forensic Science International","175","1",NA,"1","10",NA,60,"10.1016/j.forsciint.2007.04.230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38649134497&doi=10.1016%2fj.forsciint.2007.04.230&partnerID=40&md5=9bd6f6f2bba91cc204cfcd8096537385","Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland","Zieba-Palus, J., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Borusiewicz, R., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Kunicki, M., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland","Fibre; Forensic analysis; Ink; Paint; Raman spectrometry; XRF","ink; paint; plastic; poly(methyl methacrylate); titanium dioxide; article; fiber; forensic medicine; priority journal; Raman spectrometry; X ray fluorescence",NA,"Article","Final",NA,"Scopus","2-s2.0-38649134497","2010 report"
"175","Akrap I., Mrsic G., Zupanic S., Vujasinovic E.","","Forensic Approach to Aramid Fibre Identification",2008,"Proceedings - 4th International Textile, Clothing and Design Conference – Magic World of Textiles, October 5th to 8th, 2008, Dubrovnik, Croatia","","October",NA,"42","47",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"176","Dines G., McEvoy M.","","New Method for Producing Cross-Sections of Textile Fibres",2009,"FSS Report","RR862","",NA,"1","3",NA,NA,"","","","","","",NA,"Report","",NA,"","","2010 report"
"177","Morgan S.L., Hall S.H., Hendrix J.E., Bartick E.G.","","Pattern Recognition Methods for the Classification of Trace Evidence Textile Fibers from UV/Visible and Fluorescence Spectra",2007,"Proceedings Trace Evidence Symposium, Clearwater Beach Florida","","August",NA,"1","10",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"178","Abendshien L.C., Brown C.J., William, D.K., Shaw S.","","The Forensic Automotive Carpet Fiber Identification Database (FACID) - Preliminary Validation and Evaluation",2007,"Proceedings Trace Evidence Symposium, Clearwater Beach Florida","","August",NA,"1","12",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"179","Ali S., Nisar N., Hussain T.","57209995084;19640321200;57204898475;","Dyeing properties of natural dyes extracted from eucalyptus",2007,"Journal of the Textile Institute","98","6",NA,"559","562",NA,41,"10.1080/00405000701556079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35549005840&doi=10.1080%2f00405000701556079&partnerID=40&md5=6af0edfe4655073c60374d011024477d","Department of Chemistry, University of Agriculture, Faisalabad, Pakistan; Department of Textile Chemistry, National Textile University, Faisalabad, Pakistan","Ali, S., Department of Chemistry, University of Agriculture, Faisalabad, Pakistan; Nisar, N., Department of Chemistry, University of Agriculture, Faisalabad, Pakistan; Hussain, T., Department of Textile Chemistry, National Textile University, Faisalabad, Pakistan","Cotton dyeing; Eucalyptus bark; Natural dye; Quercetin","Color fastness; Cotton; Dyeing; Natural dye; Dyes; Color Fastness; Cotton; Direct Dyes; Dyeing; Eucalyptus Rostrata; Quercetin; colorfastness; cotton; direct dye; dye property; dyeing; natural dye",NA,"Article","Final",NA,"Scopus","2-s2.0-35549005840","2010 report"
"180","Morgan S.L., Vann B.C., Baguley B.M., Stefan A.R.","","Advances in Discrimination of Dyed Textile Fibers Using Capillary Electrophoresis / Mass Spectrometry",2007,"Proceedings Trace Evidence Symposium, Clearwater Beach Florida","","August",NA,"1","10",NA,NA,"","","","","","",NA,"Proceedings","",NA,"","","2010 report"
"181","Eng M., Martin P., Bhagwandin C.","27867653900;57199137999;36711194600;","The analysis of metameric blue fibers and their forensic significance",2009,"Journal of Forensic Sciences","54","4",NA,"841","845",NA,13,"10.1111/j.1556-4029.2009.01079.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650683983&doi=10.1111%2fj.1556-4029.2009.01079.x&partnerID=40&md5=93ca43449780ca4aa1ffa507c91854d8","Criminalistics Section, New York City Police Laboratory, 150-14 Jamaica Avenue, Jamaica, NY 11432, United States; CRAIC Technologies,Inc, 948 N. Amelia Avenue, San Dimas, CA 91773, United States; John Jay College of Criminal Justice, The City University of New York, 899 Tenth Avenue, New York, NY 10019, United States","Eng, M., Criminalistics Section, New York City Police Laboratory, 150-14 Jamaica Avenue, Jamaica, NY 11432, United States; Martin, P., CRAIC Technologies,Inc, 948 N. Amelia Avenue, San Dimas, CA 91773, United States; Bhagwandin, C., John Jay College of Criminal Justice, The City University of New York, 899 Tenth Avenue, New York, NY 10019, United States","color comparison; fibers; Forensic science; metameric fibers; metamerism; UV-visible spectrophotometry","coloring agent; article; color; color vision; human; microspectrophotometry; priority journal; textile fiber; ultraviolet spectroscopy",NA,"Article","Final",NA,"Scopus","2-s2.0-67650683983","2010 report"
"182","Gallo J.M., Almirall J.R.","34768163900;7004960911;","Elemental analysis of white cotton fiber evidence using solution ICP-MS and laser ablation ICP-MS (LA-ICP-MS)",2009,"Forensic Science International","190","01-Mar",NA,"52","57",NA,35,"10.1016/j.forsciint.2009.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650995957&doi=10.1016%2fj.forsciint.2009.05.011&partnerID=40&md5=79b057cc94880dd2fbc97b820c91c85f","Department of Chemistry and Biochemistry, International Forensic Research Institute (IFRI), Florida International University, 11200 SW 8th Street, Miami, FL 33199, United States","Gallo, J.M., Department of Chemistry and Biochemistry, International Forensic Research Institute (IFRI), Florida International University, 11200 SW 8th Street, Miami, FL 33199, United States; Almirall, J.R., Department of Chemistry and Biochemistry, International Forensic Research Institute (IFRI), Florida International University, 11200 SW 8th Street, Miami, FL 33199, United States","Cotton; Elemental analysis; ICP-MS; LA-ICP-MS","aluminum; barium; iron; magnesium; manganese; strontium; accuracy; analytical error; article; controlled study; cotton; forensic science; intermethod comparison; laser; legal evidence; mass spectrometry; microwave radiation; priority journal; reference value; ultraviolet radiation; validation process",NA,"Article","Final",NA,"Scopus","2-s2.0-67650995957","2010 report"
"183","Kirkbride K.P., Tridico S.R.","56337473100;34267883800;","The application of laser scanning confocal microscopy to the examination of hairs and textile fibers: An initial investigation",2010,"Forensic Science International","195","01-Mar",NA,"28","35",NA,16,"10.1016/j.forsciint.2009.10.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74749099613&doi=10.1016%2fj.forsciint.2009.10.030&partnerID=40&md5=fbb5b13be9da5fd6e565c8507371b8d5","Australian Federal Police, Forensic and Data Centres, Weston, Canberra, ACT, Australia","Kirkbride, K.P., Australian Federal Police, Forensic and Data Centres, Weston, Canberra, ACT, Australia; Tridico, S.R., Australian Federal Police, Forensic and Data Centres, Weston, Canberra, ACT, Australia","Confocal microscopy; Cross-section; Fiber; Hair","dye; animal tissue; article; autofluorescence; hair analysis; image analysis; image display; laser microscopy; medicolegal aspect; nonhuman; pigmentation; priority journal; signal detection; textile fiber; Animals; Fluorescence; Forensic Medicine; Hair; Hair Color; Humans; Image Processing, Computer-Assisted; Microscopy, Confocal; Rabbits; Software; Textiles; Trichosurus",NA,"Article","Final",NA,"Scopus","2-s2.0-74749099613","2010 report"
"184","Sano T., Suzuki S.","56207720200;8654989200;","Basic forensic identification of artificial leather for hit-and-run cases",2009,"Forensic Science International","192","01-Mar",NA,"e27","e32",NA,17,"10.1016/j.forsciint.2009.08.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349484219&doi=10.1016%2fj.forsciint.2009.08.018&partnerID=40&md5=f7b2289c0558e94c8a4e7f0701d55f1d","Forensic Science Laboratory, Chiba Prefectural Police Headquarters, 1-71-1 Chuominato, Chuo-ku, Chiba, 260-0024, Japan; National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa-shi, Chiba, 277-0882, Japan","Sano, T., Forensic Science Laboratory, Chiba Prefectural Police Headquarters, 1-71-1 Chuominato, Chuo-ku, Chiba, 260-0024, Japan; Suzuki, S., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa-shi, Chiba, 277-0882, Japan","Artificial leather; Forensic; Infrared miscrospectrometry; Micro-X-ray fluorescence spectrometry; Microspectrophotometry; Scanning electron microscope with energy dispersive electron microanalyzer","analytic method; article; chemical composition; color; controlled study; forensic identification; infrared radiation; microspectrophotometry; priority journal; scanning electron microscopy; textile fiber; traffic accident; X ray fluorescence; Accidents, Traffic; Crime; Forensic Medicine; Humans; Microscopy, Electron, Scanning; Microspectrophotometry; Spectrum Analysis; Textiles",NA,"Article","Final",NA,"Scopus","2-s2.0-70349484219","2010 report"
"185","","","",NA,"","","",NA,"","",NA,NA,"http://emmergingtextiles.com","","","","","",NA,"Webpage","",NA,"","","2010 report"
"186","","","",NA,"","","",NA,"","",NA,NA,"http://fibre2fashion.com","","","","","",NA,"Webpage","",NA,"","","2010 report"
"187","","","",NA,"","","",NA,"","",NA,NA,"http://www.eurotexx.com/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"188","","","",NA,"","","",NA,"","",NA,NA,"http://www.fashion-links.de/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"189","","","",NA,"","","",NA,"","",NA,NA,"http://www.fashionseek.net/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"190","","","",NA,"","","",NA,"","",NA,NA,"http://www.ita.rwth-aachen.de/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"191","","","",NA,"","","",NA,"","",NA,NA,"http://www.techexchange.com/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"192","","","",NA,"","","",NA,"","",NA,NA,"http://www.texdata.com/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"193","","","",NA,"","","",NA,"","",NA,NA,"http://www.texi.org/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"194","","","",NA,"","","",NA,"","",NA,NA,"http://www.textile.fr/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"195","","","",NA,"","","",NA,"","",NA,NA,"http://www.textileweb.com/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"196","","","",NA,"","","",NA,"","",NA,NA,"http://www.textileworld.com","","","","","",NA,"Webpage","",NA,"","","2010 report"
"197","","","",NA,"","","",NA,"","",NA,NA,"http://www.textilexpert.com/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"198","","","",NA,"","","",NA,"","",NA,NA,"http://www.textilserver.de/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"199","","","",NA,"","","",NA,"","",NA,NA,"http://www.texweb.de/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"200","","","",NA,"","","",NA,"","",NA,NA,"http://www.ivc-ev.de/HTDOCS/index.html","","","","","",NA,"Webpage","",NA,"","","2010 report"
"201","","","",NA,"","","",NA,"","",NA,NA,"http://www.trevira.de/","","","","","",NA,"Webpage","",NA,"","","2010 report"
"202","Palmer R.","","The Forensic Examination of Fibres - A Review: 2007 to 2010",2010,"Proceedings 16th International Forensic Science Symposium Interpol, Lyon","October","",NA,NA,NA,NA,NA,"","","","","","",NA,"Report","","","","","2013 report"
"203","Koch S.","","An update on SWGMAT activities",2012,"Proceedings of 20th ENFSI European Textile & Hair Group, Vienna","","",NA,NA,NA,NA,NA,"","","","","","",NA,"Proceedings","","","","","2013 report"
"204","Koch S.","","An update on SWGMAT activities",2013,"Personal communication","June","",NA,NA,NA,NA,NA,"","","","","","",NA,"Communication","","","","","2013 report"
"205","","","",NA,"","","",NA,NA,NA,NA,NA,"","http://www.swgmat.org","","","","",NA,"Webpage","","","","","2013 report"
"206","","","Strengthening Forensic Science in the United States: A path forward",2009,"The National Academy of Sciences","","",NA,NA,NA,NA,NA,"","","","","","",NA,"Report","","","","","2013 report"
"207","Roux C.","","An update on ANZFSS activities",2012,"Proceedings of 20th ENFSI European Textile & Hair Group, Vienna","","",NA,NA,NA,NA,NA,"","","","","","",NA,"Proceedings","","","","","2013 report"
"208","Roux C.","","An update on research activities",2013,"Personal communication","June","",NA,NA,NA,NA,NA,"","","","","","",NA,"Communication","","","","","2013 report"
"209","","","",NA,"","","",NA,NA,NA,NA,NA,"","http://www.anzfss.org.au","","","","",NA,"Webpage","","","","","2013 report"
"210","Lim Chin Chin","","Activities of the Asian Forensic Sciences Network",2012,"Proceedings of 20th ENFSI European Textile & Hair Group, Vienna","","",NA,NA,NA,NA,NA,"","","","","","",NA,"Proceedings","","","","","2013 report"
"211","","","",NA,"","","",NA,NA,NA,NA,NA,"","http://www.asianforensic.net","","","","",NA,"Webpage","","","","","2013 report"
"212","Karoly A.","","Rape or simple handshake?",2011,"Proceedings of 19th ENFSI European Textile & Hair Group, Riga","","",NA,NA,NA,NA,NA,"","","","","","",NA,"Proceedings","","","","","2013 report"
"213","Nehse K.","","A case of double murder - a case example with added values: Using the virtues of DNA and providing the missing links via fibre evidence",2011,"Proceedings of 19th ENFSI European Textile & Hair Group, Riga","","",NA,NA,NA,NA,NA,"","","","","","",NA,"Proceedings","","","","","2013 report"
"214","Was-Gubala J.","","Examination of textiles secured during exhumations",2011,"Proceedings of 19th ENFSI European Textile & Hair Group, Riga","","",NA,NA,NA,NA,NA,"","","","","","",NA,"Proceedings","","","","","2013 report"
"215","Was-Gubala J., Grzesiak E.","6602268152;11438922400;","The kinetics of colour change in textiles and fibres treated with detergent solutions. Part II - Spectrophotometric measurements",2010,"Science and Justice","50","2",NA,"55","58",NA,10,"10.1016/j.scijus.2009.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951297102&doi=10.1016%2fj.scijus.2009.05.002&partnerID=40&md5=4463a41f77cc070efe2aafbbbb6bff90","Institute of Forensic Research, Westerplatte 9, 31-033 Krakow, Poland; Dyes and Organic Products Department, Institute for Engineering of Polymer Materials and Dyes, Zgierz, Chemikow 2/4, 95-100 Zgierz, Poland","Was-Gubala, J., Institute of Forensic Research, Westerplatte 9, 31-033 Krakow, Poland; Grzesiak, E., Dyes and Organic Products Department, Institute for Engineering of Polymer Materials and Dyes, Zgierz, Chemikow 2/4, 95-100 Zgierz, Poland","Detergents; Fibres; Microspectrophotometry; Spectrophotometry; Textile","detergent; article; chemical reaction kinetics; color; controlled study; laundry; microspectrophotometry; physical chemistry; reaction time; spectrophotometry; textile fiber; textile industry; textile washing",NA,"Article","Final","","Scopus","2-s2.0-77951297102","2013 report"
"216","Colella M., Parkinson A., Evans T., Robertson J., Roux C.","6701775911;26533187300;57212988509;7404531595;7202017940;","The effect of ionizing gamma radiation on natural and synthetic fibers and its implications for the forensic examination of fiber evidence",2011,"Journal of Forensic Sciences","56","3",NA,"591","605",NA,8,"10.1111/j.1556-4029.2010.01654.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955165833&doi=10.1111%2fj.1556-4029.2010.01654.x&partnerID=40&md5=d70dc2cc577d9caece396333ac31ad17","Australian Nuclear Science and Technology Organisation, PMB 1, Menai, NSW 2234, Australia; Forensic and Technical Services, Australian Federal Police, Canberra, ACT 2611, Australia; Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW 2007, Australia","Colella, M., Australian Nuclear Science and Technology Organisation, PMB 1, Menai, NSW 2234, Australia, Forensic and Technical Services, Australian Federal Police, Canberra, ACT 2611, Australia; Parkinson, A., Australian Nuclear Science and Technology Organisation, PMB 1, Menai, NSW 2234, Australia; Evans, T., Australian Nuclear Science and Technology Organisation, PMB 1, Menai, NSW 2234, Australia; Robertson, J., Forensic and Technical Services, Australian Federal Police, Canberra, ACT 2611, Australia; Roux, C., Centre for Forensic Science, University of Technology Sydney, PO Box 123, Broadway, NSW 2007, Australia","CBRN forensics; Fiber analysis techniques; Fibers; Forensic science; Ionizing radiation; Radiologic forensics","",NA,"Article","Final","","Scopus","2-s2.0-79955165833","2013 report"
